FeatureID,FeatureName,Platelets Average,Platelets Log2 Fold Change,Platelets P-Value
ENSGACG00000002393,ENSGACG00000002393,9.24582282756873,11.203468282991656,2.345498865183799e-108
ENSGACG00000005985,tagln,3.831291696324086,11.701714618310463,2.7762017974711704e-95
ENSGACG00000006204,ENSGACG00000006204,2.0707688410080696,10.547357501432836,1.5343280559519098e-76
ENSGACG00000004588,boka,1.14003088393191,10.388101791635105,3.198594483366465e-68
ENSGACG00000019168,myh11a,1.0070683186353158,10.402245973955374,8.951686288142286e-68
ENSGACG00000019471,rbpms,1.2951538767779367,9.24265635185318,6.843759655201066e-52
ENSGACG00000016865,TPM4,1.6669566056628575,8.904043529033157,9.147188791898784e-50
ENSGACG00000019128,ENSGACG00000019128,1.088323219649901,7.48586484458707,1.0789373413611442e-22
ENSGACG00000018028,spock3,1.5561544679156958,6.636510141099509,2.0338979501675042e-19
ENSGACG00000018844,fgl2a,1.501984533905972,6.574721535924776,1.7731067513506816e-18
ENSGACG00000010218,gata1a,1.9279571968006166,5.289027768476831,8.909506143336105e-09
ENSGACG00000006153,rap1ab,3.1172334752868207,4.513703842356764,7.267085428806231e-05
ENSGACG00000008037,zgc:56095,3.942093834071248,4.154243980135702,0.001081556329267423
ENSGACG00000005413,rhoca,1.2976161465056513,4.053503451468214,0.0012094767380641407
ENSGACG00000018584,tln1,2.23820318249267,3.904105345600198,0.004988806798566881
ENSGACG00000019085,f13a1b,4.562585805455354,3.711515524536636,0.013466760391613649
ENSGACG00000016924,fermt3b,3.2132619946676946,3.309307334550417,0.07423688799362636
ENSGACG00000016598,ak1,1.2360594033127836,2.4427591887263693,0.42090246373110823
ENSGACG00000017697,ENSGACG00000017697,1.0932477591053305,2.393501728721268,0.47158310412086507
ENSGACG00000011294,tpm4a,1.428116442074531,2.161143332091682,0.6428625331416533
ENSGACG00000003243,pdlim1,1.703890651578578,2.0475220544086996,0.7233222149144609
ENSGACG00000012370,fkbp1b,1.2532952914067865,2.0249272781572154,0.7367411624688157
ENSGACG00000007536,ENSGACG00000007536,3.4668757766223095,2.268815281322667,0.7985541513563794
ENSGACG00000011807,tmem189,1.3074652254165102,1.9229128680949463,0.8086290123823071
ENSGACG00000003471,tubb2b,1.351786080515375,1.1239799681379237,0.9290363274946932
ENSGACG00000004060,dynll1,1.09817229856076,0.5926163019932216,0.9290363274946932
ENSGACG00000005726,pcna,1.0415400948233215,0.8857747180160702,0.9290363274946932
ENSGACG00000001066,ENSGACG00000001066,1.3222388437827983,0.4392705134651282,0.9290363274946932
ENSGACG00000001473,ENSGACG00000001473,1.021841937001604,1.1448888936455837,0.9290363274946932
ENSGACG00000010458,BRK1,1.595550783559131,0.41185476313805747,0.9290363274946932
ENSGACG00000005090,ENSGACG00000005090,1.8442400260583165,0.8979301473426647,0.9290363274946932
ENSGACG00000016482,hmgb2a,3.58752699328033,1.0648180965926153,0.9290363274946932
ENSGACG00000019097,prdx2,5.498248301986944,1.4520180205830848,0.9290363274946932
ENSGACG00000004038,psma3,1.2828425281393632,0.19713856799079765,0.9290363274946932
ENSGACG00000004818,ENSGACG00000004818,2.043683874003208,0.9864700724273975,0.9290363274946932
ENSGACG00000007324,ENSGACG00000007324,1.080936410466757,0.49683796646063555,0.9290363274946932
ENSGACG00000012607,ENSGACG00000012607,1.8762495325186077,0.7792867370270599,0.9290363274946932
ENSGACG00000012635,ENSGACG00000012635,1.2459084822236424,1.0458631519717239,0.9290363274946932
ENSGACG00000001954,ENSGACG00000001954,1.4404277907131045,0.13924608648394643,0.9290363274946932
ENSGACG00000002136,zgc:171480,1.3911823961588103,0.6699090148348977,0.9290363274946932
ENSGACG00000014467,serbp1a,1.849164565513746,0.09921455456392747,0.9290363274946932
ENSGACG00000000151,ENSGACG00000000151,1.713739730489437,0.8504165633135379,0.9290363274946932
ENSGACG00000005947,sla1,1.6078621321977045,0.850670827443626,0.9290363274946932
ENSGACG00000000082,ENSGACG00000000082,1.9304194665283314,1.745123431777795,0.9290363274946932
ENSGACG00000000061,cnbpa,1.967353512444052,0.25714583234957666,0.9290363274946932
ENSGACG00000011456,ada,1.2631443703176455,0.8665280835846546,0.9290363274946932
ENSGACG00000010310,ppdpfb,4.072594129640128,1.0203522493732526,0.9290363274946932
ENSGACG00000008944,ENSGACG00000008944,3.402856763701727,1.7520916675464009,0.9290363274946932
ENSGACG00000017191,eef1da,1.807305980142596,0.27578179849085216,0.9290363274946932
ENSGACG00000017667,eif3f,1.3099274951442248,0.14882703346566817,0.9290363274946932
ENSGACG00000001512,DBI,1.2459084822236424,0.1439547321049054,0.9290363274946932
ENSGACG00000001519,itgb2,1.477361836628825,0.17643818110341225,0.9290363274946932
ENSGACG00000000825,PDCL3,2.0165989069983463,0.1912007431984717,0.9290363274946932
ENSGACG00000020286,prdx5,1.4305787118022455,0.14055635006874823,0.9290363274946932
ENSGACG00000020358,tagln2,3.2797432773159914,0.9736127296077973,0.9290363274946932
ENSGACG00000016901,ENSGACG00000016901,2.0929292685575023,1.1030441063070844,0.9290363274946932
ENSGACG00000017032,cfl1,4.683237022113375,1.6751492607413505,0.9290363274946932
ENSGACG00000018552,sh3bgrl,4.557661265999926,1.5317576099875565,0.9290363274946932
ENSGACG00000019282,ENSGACG00000019282,18.587674174518334,1.0061833648935448,0.9290363274946932
ENSGACG00000019805,btg1,1.5586167376434104,0.5267540780166121,0.9290363274946932
ENSGACG00000019990,hcls1,1.2015876271247776,0.4137757721005072,0.9290363274946932
ENSGACG00000020109,atp5f1c,1.063700522372754,0.13248222416157637,0.9290363274946932
ENSGACG00000009066,tcp1,1.0858609499221863,0.4231866497657904,0.9290363274946932
ENSGACG00000010476,fosab,2.161872820933514,1.3468718688135533,0.9290363274946932
ENSGACG00000020951,mt-nd5,1.189276278486204,0.3819699040270581,0.9290363274946932
ENSGACG00000004252,MYL12B,6.997770566165201,1.438389711804451,0.9290363274946932
ENSGACG00000014009,si:ch211-79k12.1,1.063700522372754,0.3171956719057323,0.9290363274946932
ENSGACG00000013157,rbm8a,1.519220421999975,0.2756471014668159,0.9290363274946932
ENSGACG00000010464,zgc:92606,1.1326440747487658,0.7913881229485255,0.9290363274946932
ENSGACG00000008411,ENSGACG00000008411,2.1175519658346493,1.2781070739682021,0.9290363274946932
ENSGACG00000003572,pabpc1a,1.3074652254165102,0.2106625824540853,0.9290363274946932
ENSGACG00000005779,ENSGACG00000005779,1.2803802584116484,0.5011987644435014,0.9290363274946932
ENSGACG00000013901,zgc:92027,1.2335971335850688,0.15126379458615435,0.9290363274946932
ENSGACG00000014899,gpd1c,1.0021437791798864,1.466397927308102,0.9290363274946932
ENSGACG00000015892,nsa2,1.3690219686093779,0.10571248214495943,0.9290363274946932
ENSGACG00000005975,ENSGACG00000005975,1.967353512444052,0.5310904330118805,0.9290363274946932
ENSGACG00000009661,NDUFA4,1.8639381838800342,0.2002682627370097,0.9290363274946932
ENSGACG00000014908,arl6ip1,1.536456310093978,0.8031326785768305,0.9290363274946932
ENSGACG00000010457,ENSGACG00000010457,1.8196173287811694,0.09224166219073138,0.9294709095244738
ENSGACG00000014576,ENSGACG00000014576,32.13754448613238,0.9466373380722279,0.9298384761810924
ENSGACG00000007843,ptprc,1.2976161465056513,0.03621683986411828,0.9315182543737255
ENSGACG00000020257,ubb,4.803888238771396,0.9192532761097438,0.9315182543737255
ENSGACG00000004968,rpl4,1.8934854206126108,0.022927490335961087,0.9330196330193008
ENSGACG00000014618,h2afva,2.582920944372729,0.8286667923305399,0.940057465409792
ENSGACG00000019287,ENSGACG00000019287,3.9150088670663865,0.8075929471066379,0.9445102670340002
ENSGACG00000007836,ENSGACG00000007836,43.58217418055034,0.7000054287678887,0.9714778656663992
ENSGACG00000020935,mt-co1,19.772025913549108,0.6609760002567913,0.9844715013531192
ENSGACG00000001123,ENSGACG00000001123,42.66620984184047,0.6251246223610609,0.9964788225923606
ENSGACG00000001108,ENSGACG00000001108,5.537644617630379,0.14510398960088589,1
ENSGACG00000016593,actb1,5.8405037941392886,0.09863138061647136,1
ENSGACG00000008021,uba52,8.753368882025788,0.023523266357663886,1
ENSGACG00000002182,ENSGACG00000002182,17.206340857270384,0.13262064725346345,1
ENSGACG00000002835,rps5,12.193159691643237,0.023452653718699867,1
ENSGACG00000003336,ENSGACG00000003336,13.719766922826356,0.11869747039584677,1
ENSGACG00000008265,rpl14,8.736132993931784,0.03167927877773513,1
ENSGACG00000013073,rpl10,8.950350460242966,0.009494553096466074,1
ENSGACG00000017028,ENSGACG00000017028,2.9670350218962236,0.29004700602243116,1
ENSGACG00000007989,itm2bb,3.4693380463500243,0.3855247417054326,1
ENSGACG00000020072,eif4a1b,2.3169958137795406,0.20169836635985883,1
ENSGACG00000012791,faua,11.117147820631908,0.10318606796973473,1
ENSGACG00000013530,hsp90ab1,8.950350460242966,0.18112587444344408,1
ENSGACG00000020925,mt-nd1,5.650909025105256,0.3541866254109549,1
ENSGACG00000020929,mt-nd2,6.278787805672506,0.3974291735751856,1
ENSGACG00000020938,mt-co2,75.34052912861465,0.3667935663354278,1
ENSGACG00000020940,ENSGACG00000020940,16.72866053009373,0.18002638378322278,1
ENSGACG00000020942,mt-co3,31.16248567395735,0.3747787763129473,1
ENSGACG00000020946,mt-nd4l,4.946699882978849,0.46115059431816774,1
ENSGACG00000020954,mt-cyb,18.004116249049947,0.49744342792247576,1
ENSGACG00000010761,rps9,13.867503106489238,0.11801157901667025,1
ENSGACG00000000860,ENSGACG00000000860,9.7432013125671,0.343933846319858,1
ENSGACG00000005605,atp5mc1,3.3216018626871415,0.3794287465804036,1
ENSGACG00000015963,cox4i1,2.3194580835072554,0.13274173998686023,1
